num,subject,relation,object
1060,李冰冰,绯闻,朱孝天
1060,李冰冰,同学,廖凡
1060,李冰冰,同学,刘晓虎
1060,李冰冰,拍档,范冰冰
1060,李冰冰,同学,刘小锋
1061,秦昊,同学,刘烨
1061,秦昊,同学,胡静
1061,秦昊,同学,秦海璐
1061,秦昊,同学,袁泉
1061,秦昊,同学,梅婷
1061,秦昊,同学,牛青峰
1061,秦昊,同学,曾黎
1061,秦昊,同学,章子怡
1061,秦昊,夫妻,伊能静
1062,马伊琍,好友,佟大为
1062,马伊琍,同学,杨明娜
1062,马伊琍,夫妻,文章
1062,马伊琍,同学,保剑锋
1062,马伊琍,好友,滕华涛
1063,赵雅芝,绯闻,郑少秋
1064,贺军翔,绯闻,杨丞琳
1064,贺军翔,绯闻,林依晨
1064,贺军翔,好友,郑元畅
1064,贺军翔,好友,阮经天
1064,贺军翔,好友,陈乔恩
1065,范逸臣,绯闻,田中千绘
1066,张默,父子,张国立
1066,张默,旧爱,叶璇
1066,张默,母子,邓婕
1066,张默,旧爱,童瑶
1067,朱孝天,拍档,周渝民
1067,朱孝天,拍档,言承旭
1067,朱孝天,拍档,吴建豪
1067,朱孝天,绯闻,吴亚馨
1067,朱孝天,旧爱,杨谨华
1067,朱孝天,旧爱,林熙蕾
1067,朱孝天,绯闻,李冰冰
1068,郑嘉颖,绯闻,黎姿
1068,郑嘉颖,旧爱,佘诗曼
1068,郑嘉颖,旧爱,周丽淇
1068,郑嘉颖,绯闻,陈敏之
1068,郑嘉颖,好友,黄嘉乐
1068,郑嘉颖,好友,韩栋
1069,祝钒刚,拍档,明道
1069,祝钒刚,拍档,黄玉荣
1069,祝钒刚,拍档,颜行书
1070,于娜,绯闻,洪天明
1071,阮经天,好友,陈乔恩
1071,阮经天,好友,彭于晏
1071,阮经天,好友,郑元畅
1071,阮经天,好友,贺军翔
1071,阮经天,绯闻,刘品言
1071,阮经天,情侣,许玮甯
1072,李安（导演）,父子,李淳
1072,李安（导演）,师徒,汤唯
1073,林海峰,舅甥,狄龙
1074,李小冉,好友,邓超
1075,陈龙,夫妻,章龄之
1076,俞灏明,好友,王栎鑫
1077,邱胜翊,绯闻,杨丞琳
1078,李小萌,情侣,王雷
1079,田壮壮,同学,陈凯歌
1080,朱媛媛,同学,史兰芽
1081,杨幂,好友,霍建华
1081,杨幂,好友,胡歌
1081,杨幂,密友,刘亦菲
1081,杨幂,好友,张翰
1081,杨幂,好友,袁弘
1081,杨幂,密友,李小璐
1081,杨幂,密友,刘诗诗
1081,杨幂,密友,霍思燕
1081,杨幂,好友,佟丽娅
1081,杨幂,绯闻,谢霆锋
1081,杨幂,情侣,刘恺威
1081,杨幂,好友,袁姗姗
1081,杨幂,绯闻,冯绍峰
1082,任达华,夫妻,琦琦
1083,杨佑宁,好友,张孝全
1084,霍政谚,同学,白百何
1085,周丽淇,姐妹,周汶锜
1085,周丽淇,绯闻,黄宗泽
1085,周丽淇,旧爱,郑嘉颖
1086,周冬齐,拍档,方子哥
1086,周冬齐,夫妻,林永健
1087,朴志胤,旧爱,安七炫
1088,唐嫣,同学,童瑶
1088,唐嫣,同学,沈佳妮
1088,唐嫣,同学,曹曦文
1088,唐嫣,情侣,邱泽
1088,唐嫣,恋人,罗晋
1088,唐嫣,绯闻,林峰
1088,唐嫣,同学,文章
1088,唐嫣,同学,白百何
1088,唐嫣,同学,白静
1088,唐嫣,好友,蒋劲夫
1088,唐嫣,同学,秦丽
